ANTH 0100T            Introductory Anthropology                         
ANTH 0200T            Sociocultural Anthropology                        
ANTH 0212T            Archaeology                                       
ANTH 0240T            Biological Anthropology                           
BIOL 0102T            Current Issues in Biology I                       
BIOL 1010U            Biology I                                         
BIOL 2010U            Introductory Physiology                           
BIOL 2030U            Cell Biology                                      
BIOL 2830U            Microbiology for Health Sci                       
BIOL 2840U            Cell & Molecular Biology                          
BIOL 3010U            Lab. Methods in Molecular Bio.                    
BIOL 3020U            Principles of Pharm. & Toxico.                    
BIOL 3050U            Developmental Biology                             
BUSI 1600U            Management of the Enterprise                      
BUSI 1830U            Introduction to Programming                       
BUSI 1900U            Math Foundations for Business                     
BUSI 2000U            Collaborative Leadership                          
BUSI 2160U            Financial Accounting II                           
BUSI 2201U            Marketing I                                       
BUSI 2311U            Organizational Behaviour                          
BUSI 2401U            Finance I                                         
BUSI 2502U            E-Commerce                                        
BUSI 2603U            Intro. to Operations Mgmt.                        
BUSI 2620U            Business Ethics                                   
BUSI 3040U            Information Systems                               
BUSI 3101U            Inter Financial Accounting I                      
BUSI 3110U            Introduction to Taxation                          
BUSI 3170U            Auditing Standards & Appl.                        
BUSI 3200U            Marketing Communications                          
BUSI 3312U            Industrial & Labour Relations                     
BUSI 3405U            Investments                                       
BUSI 3503U            E-Marketing                                       
BUSI 3630U            Logistics in the Supply Chain                     
BUSI 3800U            International Business                            
CHEM 1010U            Chemistry I                                       
CHEM 2010U            Structure and Bonding                             
CHEM 2020U            Intro to Organic Chemistry                        
CHEM 2030U            Analytical Chemistry                              
CHEM 2130U            Analytical Chem for Bioscience                    
CHEM 3510U            Inorganic Chemistry I                             
CHEM 3530U            Instrum. Analytical Chem. I                       
CSCI 0102T            Intro to Software Engin. C/C++                    
CSCI 1000U            Scientific Computing Tools                        
CSCI 1010U            Discrete Struct. in Comp. Scie                    
ECON 0101T            Introductory Microeconomics                       
ECON 2010U            Microeconomics                                    
EDUC 1050U            Technical Communications                          
EDUC 1200U            History of Science & Tech.                        
EDUC 2000U            Classroom Communications                          
EDUC 3610U            Contemporary Educ Practice                        
EDUC 3750U            Learning & Human Development                      
EDUC 4250U            Phil. Found. in Catholic Educ.                    
EDUC 4380U            Analysis & Mgmt of Clsrm Beh                      
EDUC 4900U            Field Experience I                                
ENGR 1400U            Information Tech for Engineers                    
ENGR 2020U            Statics and Dynamics                              
ENGR 2140U            Prob Solving, Modelling & Sim.                    
ENGR 2220U            Structure & Prop. of Materials                    
ENGR 2310U            Concurrent Engr. & Design                         
ENGR 2320U            Thermodynamics                                    
ENGR 2500U            Intro. to Nuclear Physics                         
ENGR 2640U            Thermodynamics & Heat Transfer                    
ENGR 2860U            Fluid Mechanics                                   
ENGR 3030U            Computer-Aided Design                             
ENGR 3190U            Manufacturing & Prod. Process.                    
ENGR 3200U            Engineering Graphics & Design                     
ENGR 3270U            Kinemat. & Dynam. of Machines                     
ENGR 3280U            Fund. of Computer-Aided Design                    
ENGR 3350U            Control Systems                                   
ENGR 3530U            Safety and Quality Management                     
ENGR 3570U            Environ. Effects of Radiation                     
ENGR 3740U            Scientific Instrumentation                        
ENGR 3860U            Intro. to Nuclear Technology                      
ENGR 3930U            Heat Transfer                                     
ENGR 4640U            Nuclear Plant Operation                           
ENGL 0100T            Intro to English Literature                       
ENGL 0280T            Literature & Social Justice                       
ENGL 0365T            English-Canadian Poetry                           
ENGL 1001T            Writing Course                                    
ENVS 0100T            Intro to Environmental Science                    
FREN 0100T            Elementary French                                 
FREN 1001T            Intro to French I (1 semester)                    
GEOG 0103T            Human Geog. in Global Context                     
GEOG 0105T            Intro to Earth's Phys. Environ                    
GEOG 0208T            Natural Science Statistics                        
HLSC 0880U            Science Bridge                                    
HLSC 1200U            Anatomy & Physiology I                            
HLSC 1300U            Info & Com Tech in Health Care                    
HLSC 1801U            Health and Wellness                               
HLSC 2460U            Pathophysiology I                                 
HLSC 3601U            Managing Health Care Teams                        
HLSC 3710U            Ethics                                            
HLSC 3800U            Critical Appr. of Stat. in HS                     
HSST 1001T            Intro to Spanish I (1 sem.)                       
HIST 0102T            Nation & Citiz: Interp. Canada                    
HIST 0120T            Western European History                          
HIST 0208T            The Social History of Europe                      
HIST 0211T            The United States 1775-1880                       
HIST 0254T            Canada & the Modern Exper.                        
HIST 0304T            Canada & the World Since 1900                     
HIST 1001T            Themes in Canadian History                        
HIST 2401T            Emer of Mod Africa Before 1880                    
HIST 3952T            Canadian Intellectual History                     
HIST 3953T            The Family in England1500-1900                    
INFR 1010U            Discrete Mathematics                              
INFR 1300U            Creative Writing & Narrative                      
INFR 1310U            Drawing I                                         
INFR 1410U            Networking, Routers & Routing                     
INFR 1500U            Information Technology                            
MATH 0105T            Applied Calculus                                  
MATH 0135T            Linear Algebra I: Matrix Alge.                    
MATH 1010U            Calculus I                                        
MATH 1850U            Linear Algebra for Engineers                      
MATH 1880U            Math. Modeling for Health Sci.                    
MATH 2010U            Advanced Calculus I                               
MATH 2050U            Linear Algebra I                                  
MATH 2080U            Discrete Mathematics                              
MATH 2860U            Differential Equations for Eng                    
MLSC 2010U            Med Lab Biochemistry                              
NURS 0420U            Nursing Bridge                                    
NURS 1002U            Introduction to Nursing Praxis                    
NURS 1003U            Intro. to Practicum Skills                        
NURS 1100U            Intro. to Health & Healing                        
NURS 1420U            Development of Self as Nurse I                    
NURS 2005U            Professional Practice III                         
NURS 2100U            Hlth & Healing -Mater. & Child                    
NURS 2150U            Hlth & Healing -Med/Surg.                         
NURS 2320U            Health Assessment                                 
NURS 3005U            Professional Practice V                           
NURS 3100U            Hlth & Healing -Healthy Comm.                     
NURS 3150U            Hlth & Healing - Mental Hlth                      
PHIL 0102T            Phil. Inq: Moral & Polit. Phil                    
PHIL 0230T            Moral Issues                                      
PHIL 1000U            Social and Political Issues                       
PHY 1010U             Physics I                                         
PHY 1030U             Physics for Biosciences I                         
PHY 2010U             Electricity & Magnetism I                         
PHY 2030U             Mechanics I                                       
PHY 3010U             Statistical Mechanics I                           
PHY 3020U             Quantum Mechanics I                               
PHY 3030U             Electronics                                       
POSC 0220T            Global Politics                                   
POSC 0310T            Public Policy & the Cdn Envir.                    
POSC 1000U            Political Science                                 
PSYC 0101T            Introduction to Psychology                        
PSYC 0225T            Intro to Cognitive Psychology                     
PSYC 0240T            Introd. Abnormal Psychology                       
PSYC 0281T            Child Development                                 
RADI 3200U            Introduction  to Imaging                          
RADI 3550U            Rad. Detection & Measurement                      
SCIE 1910U            Science in Context                                
SSCI 1000U            Intro. to Criminal Justice                        
SSCI 1010U            Intro to Canadian Legal System                    
SSCI 1900U            Computing for Social Sciences                     
SSCI 2050U            Rights & Freedoms in Just. Sys                    
SSCI 2820U            Psyc Explan of Criminal Behav                     
SSCI 2830U            Justice Theory and Policy                         
SSCI 2900U            Research Methods                                  
SSCI 3025U            Victimology                                       
SSCI 3026U            Issues in Organized Crime                         
SSCI 3027U            Youth Crime                                       
SSCI 3050U            Policing                                          
SOCI 0100T            Introduction to Sociology                         
SOCI 0210T            Classical Sociological Theory                     
SOCI 0220T            Soc. Inequal. Class, Gen, Ethn                    
STAT 2010U            Stats & Prob for Physical Sci.                    
STAT 2020U            Stats & Prob for Biol Sci.                        
WMST 0100T            Intro. to Women's Studies                         
WMST 0201T            Feminist Research                                 
ANTH 0203T            Technology and Humanity                           
